ID,Title_Name,Year,Rating,Runtime,Genres,Release_Date,Release_Country,10,9,8,7,6,5,4,3,2,1,Rank_All_All_Ages,Rank_All_<18,Rank_All_18-29,Rank_All_30-44,Rank_All_45+,Rank_Male_All_Ages,Rank_Male_<18,Rank_Male_18-29,Rank_Male_30-44,Rank_Male_45+,Rank_Female_All_Ages,Rank_Female_<18,Rank_Female_18-29,Rank_Female_30-44,Rank_Female_45+,Count_All_All_Ages,Count_All_<18,Count_All_18-29,Count_All_30-44,Count_All_45+,Count_Male_All_Ages,Count_Male_<18,Count_Male_18-29,Count_Male_30-44,Count_Male_45+,Count_Female_All_Ages,Count_Female_<18,Count_Female_18-29,Count_Female_30-44,Count_Female_45+
0111161/,The Shawshank Redemption,1994,R,142,Drama,1994-10-14,USA,1262354.0,583880.0,265474.0,85024.0,25611.0,13192.0,6428.0,4628.0,4312.0,34201.0,9.3,9.3,9.3,9.3,9.1,9.3,9.3,9.3,9.3,9.1,9.2,9.0,9.2,9.2,9.2,2285104.0,1859.0,487165.0,867022.0,205233.0,1394422.0,1308.0,387767.0,724633.0,166576.0,274622.0,259.0,88180.0,129811.0,34510.0
0068646/,The Godfather,1972,R,175,"Crime, Drama",1972-03-24,USA,815469.0,390277.0,192975.0,76283.0,29274.0,16195.0,8248.0,6133.0,5799.0,36698.0,9.2,9.2,9.2,9.2,9.1,9.2,9.2,9.3,9.2,9.2,8.9,8.8,8.9,8.9,8.9,1577351.0,1178.0,310646.0,621830.0,160127.0,1006212.0,851.0,259481.0,538999.0,133895.0,152074.0,155.0,44131.0,74072.0,23038.0
0071562/,The Godfather: Part II,1974,R,202,"Crime, Drama",1974-12-18,USA,474065.0,315817.0,170707.0,68952.0,25735.0,12383.0,6081.0,4273.0,3841.0,20194.0,9.0,9.1,9.0,9.0,8.9,9.0,9.1,9.1,9.0,9.0,8.7,9.0,8.8,8.7,8.7,1102048.0,700.0,207660.0,437435.0,119462.0,713710.0,518.0,178064.0,383327.0,100765.0,96294.0,101.0,25330.0,47896.0,16400.0
0468569/,The Dark Knight,2008,PG-13,152,"Action, Crime, Drama",2008-07-18,USA,1010114.0,631933.0,345435.0,134595.0,48559.0,22780.0,11238.0,7970.0,7077.0,30045.0,9.0,9.2,9.2,9.0,8.4,9.1,9.2,9.3,9.0,8.4,8.7,8.8,8.8,8.7,8.2,2249746.0,2039.0,519664.0,883542.0,146568.0,1411141.0,1507.0,420381.0,746893.0,123426.0,251133.0,216.0,87683.0,124540.0,20271.0
0050083/,12 Angry Men,1957,Approved,96,"Crime, Drama",1957-04-10,USA,238674.0,219032.0,130270.0,47180.0,15489.0,6143.0,2823.0,1680.0,1461.0,8172.0,8.9,9.1,9.1,8.9,8.7,9.0,9.2,9.1,8.9,8.7,8.8,8.5,8.9,8.8,8.7,670924.0,583.0,148257.0,246713.0,67702.0,419208.0,437.0,122266.0,211856.0,56882.0,69330.0,74.0,23215.0,31869.0,9632.0
0108052/,Schindler's List,1993,R,195,"Biography, Drama, History",1994-02-04,USA,443091.0,374231.0,215269.0,80543.0,26747.0,12715.0,6139.0,4504.0,4244.0,19117.0,8.9,9.0,9.0,8.9,8.7,8.9,9.1,9.0,8.9,8.7,9.0,8.8,9.0,8.9,8.9,1186600.0,649.0,222133.0,469786.0,133171.0,713293.0,467.0,171335.0,384308.0,107839.0,159198.0,108.0,46292.0,78763.0,22752.0
0167260/,The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",2003-12-17,USA,687657.0,423303.0,263422.0,114849.0,43778.0,21390.0,10635.0,7848.0,6468.0,28714.0,8.9,9.1,9.1,8.8,8.7,8.9,9.2,9.2,8.8,8.6,8.8,8.5,9.0,8.8,8.7,1608064.0,1020.0,348682.0,631361.0,139708.0,983650.0,755.0,274481.0,519554.0,114723.0,207299.0,138.0,67281.0,102792.0,22263.0
0110912/,Pulp Fiction,1994,R,154,"Crime, Drama",1994-10-14,USA,661442.0,528492.0,323180.0,136933.0,50602.0,26189.0,13914.0,10217.0,8774.0,25274.0,8.9,9.1,8.9,8.9,8.7,8.9,9.2,9.0,9.0,8.8,8.5,8.5,8.6,8.5,8.3,1785017.0,1242.0,359787.0,692272.0,174784.0,1094930.0,861.0,284014.0,583431.0,145402.0,207563.0,191.0,67294.0,98881.0,26000.0
0060196/,"The Good, the Bad and the Ugly",1966,R,178,Western,1967-12-29,USA,242359.0,195268.0,134539.0,56947.0,18281.0,8431.0,3841.0,2400.0,2011.0,10232.0,8.8,9.1,8.9,8.8,8.7,8.9,9.1,8.9,8.9,8.7,8.4,8.7,8.4,8.4,8.2,674309.0,398.0,124326.0,276227.0,87358.0,467450.0,321.0,110515.0,251721.0,77206.0,44418.0,48.0,11895.0,21277.0,8654.0
0120737/,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",2001-12-19,USA,616261.0,449577.0,308219.0,129555.0,45562.0,22192.0,10745.0,8098.0,6807.0,26731.0,8.8,8.8,8.9,8.8,8.6,8.8,8.9,9.0,8.8,8.6,8.8,8.3,8.8,8.7,8.8,1623747.0,1049.0,344955.0,628698.0,152950.0,977860.0,781.0,268017.0,512184.0,124815.0,217623.0,140.0,70080.0,107256.0,25005.0
0137523/,Fight Club,1999,R,139,Drama,1999-10-15,USA,624249.0,558715.0,360767.0,147810.0,51699.0,24190.0,12416.0,8443.0,6844.0,17178.0,8.8,9.1,8.9,8.8,8.2,8.8,9.1,8.9,8.9,8.3,8.7,8.8,8.8,8.7,8.1,1812311.0,1151.0,399764.0,715934.0,137486.0,1097666.0,808.0,309693.0,589037.0,113625.0,236095.0,174.0,81271.0,116445.0,21075.0
0109830/,Forrest Gump,1994,PG-13,142,"Drama, Romance",1994-07-06,USA,604807.0,537936.0,362278.0,146929.0,49847.0,22236.0,11457.0,7529.0,5848.0,11932.0,8.8,8.9,8.9,8.8,8.5,8.8,9.0,8.9,8.8,8.5,8.7,8.6,8.7,8.7,8.5,1760799.0,1568.0,388511.0,644804.0,151619.0,1006742.0,1061.0,286700.0,513692.0,120741.0,262543.0,275.0,92216.0,120843.0,27699.0
1375666/,Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi",2010-07-16,USA,706485.0,609602.0,395542.0,168920.0,59030.0,26288.0,13147.0,8527.0,6826.0,17318.0,8.8,9.0,9.0,8.7,8.1,8.8,9.1,9.0,8.8,8.1,8.6,8.7,8.8,8.6,8.1,2011685.0,1654.0,500822.0,749496.0,133241.0,1204808.0,1168.0,381760.0,608837.0,109667.0,279558.0,238.0,107500.0,128500.0,20671.0
0080684/,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,"Action, Adventure, Fantasy",1980-06-20,USA,392704.0,310669.0,242102.0,108139.0,35736.0,15602.0,6713.0,4267.0,3516.0,15390.0,8.7,8.8,8.7,8.7,8.8,8.8,8.9,8.7,8.8,8.8,8.5,8.7,8.4,8.4,8.6,1134838.0,1005.0,209674.0,434086.0,133341.0,716483.0,786.0,174885.0,376110.0,113543.0,107599.0,122.0,30728.0,52034.0,17478.0
0167261/,The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama",2002-12-18,USA,505575.0,410801.0,302827.0,127362.0,43746.0,20319.0,9460.0,6682.0,5767.0,20724.0,8.7,8.8,8.9,8.7,8.5,8.7,8.9,8.9,8.7,8.5,8.7,8.3,8.8,8.6,8.6,1453263.0,908.0,313815.0,566805.0,130338.0,882245.0,682.0,246049.0,463391.0,106430.0,191836.0,118.0,61682.0,95305.0,21388.0
0133093/,The Matrix,1999,R,136,"Action, Sci-Fi",1999-03-31,USA,497543.0,490918.0,363945.0,160940.0,55554.0,24827.0,12325.0,8472.0,6428.0,15902.0,8.7,8.5,8.6,8.8,8.6,8.8,8.6,8.6,8.9,8.6,8.3,8.2,8.2,8.4,8.4,1636854.0,1131.0,307437.0,661867.0,163187.0,1016969.0,820.0,248653.0,556779.0,135861.0,185142.0,160.0,52480.0,95420.0,24143.0
