ID,Title_Name,Year
0111161/,"The Shawshank Redemption",1994
0068646/,"The Godfather",1972
0071562/,"The Godfather: Part II",1974
0468569/,"The Dark Knight",2008
0050083/,"12 Angry Men",1957
0108052/,"Schindler's List",1993
0167260/,"The Lord of the Rings: The Return of the King",2003
0110912/,"Pulp Fiction",1994
0060196/,"The Good, the Bad and the Ugly",1966
0120737/,"The Lord of the Rings: The Fellowship of the Ring",2001
0137523/,"Fight Club",1999
0109830/,"Forrest Gump",1994
1375666/,"Inception",2010
0080684/,"Star Wars: Episode V - The Empire Strikes Back",1980
0167261/,"The Lord of the Rings: The Two Towers",2002
0133093/,"The Matrix",1999
0099685/,"Goodfellas",1990
0073486/,"One Flew Over the Cuckoo's Nest",1975
0047478/,"Seven Samurai",1954
0114369/,"Se7en",1995
0118799/,"Life Is Beautiful",1997
0317248/,"City of God",2002
0102926/,"The Silence of the Lambs",1991
0038650/,"It's a Wonderful Life",1946
0076759/,"Star Wars: Episode IV - A New Hope",1977
0120815/,"Saving Private Ryan",1998
0245429/,"Spirited Away",2001
0120689/,"The Green Mile",1999
6751668/,"Parasite",2019
0816692/,"Interstellar",2014
0110413/,"Léon: The Professional",1994
0114814/,"The Usual Suspects",1995
0056058/,"Harakiri",1962
8503618/,"Hamilton",2020
0110357/,"The Lion King",1994
0088763/,"Back to the Future",1985
0253474/,"The Pianist",2002
0103064/,"Terminator 2: Judgment Day",1991
0120586/,"American History X",1998
0027977/,"Modern Times",1936
0054215/,"Psycho",1960
0172495/,"Gladiator",2000
0021749/,"City Lights",1931
0407887/,"The Departed",2006
1675434/,"The Intouchables",2011
2582802/,"Whiplash",2014
0482571/,"The Prestige",2006
0095327/,"Grave of the Fireflies",1988
0064116/,"Once Upon a Time in the West",1968
0034583/,"Casablanca",1942
0095765/,"Cinema Paradiso",1988
0047396/,"Rear Window",1954
0078748/,"Alien",1979
0078788/,"Apocalypse Now",1979
0209144/,"Memento",2000
0082971/,"Raiders of the Lost Ark",1981
0032553/,"The Great Dictator",1940
7286456/,"Joker",2019
1853728/,"Django Unchained",2012
0405094/,"The Lives of Others",2006
0050825/,"Paths of Glory",1957
0910970/,"WALL·E",2008
0081505/,"The Shining",1980
4154756/,"Avengers: Infinity War",2018
0043014/,"Sunset Blvd.",1950
0051201/,"Witness for the Prosecution",1957
4633694/,"Spider-Man: Into the Spider-Verse",2018
0119698/,"Princess Mononoke",1997
0364569/,"Oldboy",2003
0057012/,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964
1345836/,"The Dark Knight Rises",2012
0087843/,"Once Upon a Time in America",1984
0090605/,"Aliens",1986
4154796/,"Avengers: Endgame",2019
5311514/,"Your Name.",2016
2380307/,"Coco",2017
0169547/,"American Beauty",1999
0112573/,"Braveheart",1995
1187043/,"3 Idiots",2009
0082096/,"Das Boot",1981
0114709/,"Toy Story",1995
0057565/,"High and Low",1963
0086879/,"Amadeus",1984
0986264/,"Taare Zameen Par",2007
0086190/,"Star Wars: Episode VI - Return of the Jedi",1983
0361748/,"Inglourious Basterds",2009
8267604/,"Capharnaüm",2018
0105236/,"Reservoir Dogs",1992
0119217/,"Good Will Hunting",1997
0062622/,"2001: A Space Odyssey",1968
0180093/,"Requiem for a Dream",2000
0052357/,"Vertigo",1958
0022100/,"M",1931
5074352/,"Dangal",2016
0338013/,"Eternal Sunshine of the Spotless Mind",2004
8579674/,"1917",2019
2106476/,"The Hunt",2012
0033467/,"Citizen Kane",1941
0093058/,"Full Metal Jacket",1987
0040522/,"Bicycle Thieves",1948
0012349/,"The Kid",1921
0066921/,"A Clockwork Orange",1971
0053125/,"North by Northwest",1959
0045152/,"Singin' in the Rain",1952
0208092/,"Snatch",2000
0086250/,"Scarface",1983
0075314/,"Taxi Driver",1976
0044741/,"Ikiru",1952
0056172/,"Lawrence of Arabia",1962
0211915/,"Amélie",2001
0435761/,"Toy Story 3",2010
0070735/,"The Sting",1973
0017136/,"Metropolis",1927
1832382/,"A Separation",2011
0059578/,"For a Few Dollars More",1965
1255953/,"Incendies",2010
0053604/,"The Apartment",1960
0036775/,"Double Indemnity",1944
0091251/,"Come and See",1985
0056592/,"To Kill a Mockingbird",1962
0097576/,"Indiana Jones and the Last Crusade",1989
1049413/,"Up",2009
0119488/,"L.A. Confidential",1997
0113277/,"Heat",1995
0071853/,"Monty Python and the Holy Grail",1975
0095016/,"Die Hard",1988
0042876/,"Rashômon",1950
0055630/,"Yojimbo",1961
0372784/,"Batman Begins",2005
6966692/,"Green Book",2018
0363163/,"Downfall",2004
0118849/,"Children of Heaven",1997
0105695/,"Unforgiven",1992
0053291/,"Some Like It Hot",1959
0089881/,"Ran",1985
0066763/,"Anand",1971
0347149/,"Howl's Moving Castle",2004
0268978/,"A Beautiful Mind",2001
0042192/,"All About Eve",1950
0057115/,"The Great Escape",1963
0112641/,"Casino",1995
0457430/,"Pan's Labyrinth",2006
0993846/,"The Wolf of Wall Street",2013
1305806/,"The Secret in Their Eyes",2009
0120735/,"Lock, Stock and Two Smoking Barrels",1998
0081398/,"Raging Bull",1980
