ID,Rating,Runtime,Genres,Release_Date,Release_Country
0111161/,R,142,Drama,14 October 1994,USA
0068646/,R,175,"Crime, Drama",24 March 1972,USA
0071562/,R,202,"Crime, Drama",18 December 1974,USA
0468569/,PG-13,152,"Action, Crime, Drama",18 July 2008,USA
0050083/,Approved,96,"Crime, Drama",10 April 1957,USA
0108052/,R,195,"Biography, Drama, History",4 February 1994,USA
0167260/,PG-13,201,"Action, Adventure, Drama",17 December 2003,USA
0110912/,R,154,"Crime, Drama",14 October 1994,USA
0060196/,R,178,Western,29 December 1967,USA
0120737/,PG-13,178,"Action, Adventure, Drama",19 December 2001,USA
0137523/,R,139,Drama,15 October 1999,USA
0109830/,PG-13,142,"Drama, Romance",6 July 1994,USA
1375666/,PG-13,148,"Action, Adventure, Sci-Fi",16 July 2010,USA
0080684/,PG,124,"Action, Adventure, Fantasy",20 June 1980,USA
0167261/,PG-13,179,"Action, Adventure, Drama",18 December 2002,USA
0133093/,R,136,"Action, Sci-Fi",31 March 1999,USA
0099685/,R,146,"Biography, Crime, Drama",21 September 1990,USA
0073486/,R,133,Drama,19 November 1975,USA
0047478/,Not Rated,207,"Action, Adventure, Drama",19 November 1956,USA
0114369/,R,127,"Crime, Drama, Mystery",22 September 1995,USA
0118799/,PG-13,116,"Comedy, Drama, Romance",20 December 1997,Italy
0317248/,R,130,"Crime, Drama",13 February 2004,USA
0102926/,R,118,"Crime, Drama, Thriller",14 February 1991,USA
0038650/,PG,130,"Drama, Family, Fantasy",7 January 1947,USA
0076759/,PG,121,"Action, Adventure, Fantasy",25 May 1977,USA
0120815/,R,169,"Drama, War",24 July 1998,USA
0245429/,PG,125,"Animation, Adventure, Family",28 March 2003,USA
0120689/,R,189,"Crime, Drama, Fantasy",10 December 1999,USA
6751668/,R,132,"Comedy, Drama, Thriller",8 November 2019,USA
0816692/,PG-13,169,"Adventure, Drama, Sci-Fi",7 November 2014,USA
0110413/,R,110,"Action, Crime, Drama",18 November 1994,USA
0114814/,R,106,"Crime, Mystery, Thriller",16 August 1995,USA
0056058/,Not Rated,133,"Action, Drama, Mystery",4 August 1964,USA
8503618/,PG-13,160,"Biography, Drama, History",3 July 2020,USA
0110357/,G,88,"Animation, Adventure, Drama",24 June 1994,USA
0088763/,PG,116,"Adventure, Comedy, Sci-Fi",3 July 1985,USA
0253474/,R,150,"Biography, Drama, Music",28 March 2003,USA
0103064/,R,137,"Action, Sci-Fi",3 July 1991,USA
0120586/,R,119,Drama,20 November 1998,USA
0027977/,G,87,"Comedy, Drama, Family",25 February 1936,USA
0054215/,R,109,"Horror, Mystery, Thriller",8 September 1960,USA
0172495/,R,155,"Action, Adventure, Drama",5 May 2000,USA
0021749/,G,87,"Comedy, Drama, Romance",7 March 1931,USA
0407887/,R,151,"Crime, Drama, Thriller",6 October 2006,USA
1675434/,R,112,"Biography, Comedy, Drama",2 November 2011,France
2582802/,R,106,"Drama, Music",15 October 2014,Philippines
0482571/,PG-13,130,"Drama, Mystery, Sci-Fi",20 October 2006,USA
0095327/,Not Rated,89,"Animation, Drama, War",26 July 1989,USA
0064116/,PG-13,165,Western,4 July 1969,USA
0034583/,PG,102,"Drama, Romance, War",23 January 1943,USA
0095765/,R,155,Drama,23 February 1990,USA
0047396/,PG,112,"Mystery, Thriller",eptember 1954,USA
0078748/,R,117,"Horror, Sci-Fi",22 June 1979,USA
0078788/,R,147,"Drama, Mystery, War",15 August 1979,USA
0209144/,R,113,"Mystery, Thriller",25 May 2001,USA
0082971/,PG,115,"Action, Adventure",12 June 1981,USA
